outcome,strategy,run_id,value,iqr_low_fence,iqr_high_fence,outside_1_5_iqr,within_group_standardized_residual,absolute_residual_at_least_3
normalized_target_score_pct,Performance-Based DDA,R-20260719-073723-9A82FD86,81.53310104529616,72.05993306438504,91.4757657118042,False,-0.0671657759700882,False
normalized_target_score_pct,Performance-Based DDA,R-20260719-084336-9AD97336,79.16666666666666,72.05993306438504,91.4757657118042,False,-0.8142726338989078,False
normalized_target_score_pct,Performance-Based DDA,R-20260719-090242-3BA5890E,84.82142857142857,72.05993306438504,91.4757657118042,False,0.9709919131150487,False
normalized_target_score_pct,Performance-Based DDA,R-20260719-092039-C2ECB570,77.67295597484278,72.05993306438504,91.4757657118042,False,-1.285851948204474,False
normalized_target_score_pct,Performance-Based DDA,R-20260803-202931-74AE8E33,83.01587301587303,72.05993306438504,91.4757657118042,False,0.4009600752965621,False
normalized_target_score_pct,Performance-Based DDA,R-20260803-204306-D213B70C,79.06336088154269,72.05993306438504,91.4757657118042,False,-0.8468872972197362,False
normalized_target_score_pct,Performance-Based DDA,R-20260804-075724-00D9EA4C,84.58781362007169,72.05993306438504,91.4757657118042,False,0.8972373506181516,False
normalized_target_score_pct,Performance-Based DDA,R-20260719-084347-6A9321AA,79.86348122866895,72.05993306438504,91.4757657118042,False,-0.5942813496791135,False
normalized_target_score_pct,Performance-Based DDA,R-20260719-092328-65D9D1AB,87.61682242990653,72.05993306438504,91.4757657118042,False,1.8535255430948914,False
normalized_target_score_pct,Performance-Based DDA,R-20260804-075051-71E20E02,80.11695906432749,72.05993306438504,91.4757657118042,False,-0.5142558771523298,False
normalized_target_score_pct,Skill-Specific DDA,R-20260719-074245-6E61F985,52.00729927007299,60.94027691763311,94.442779122577,True,-2.296320000846283,False
normalized_target_score_pct,Skill-Specific DDA,R-20260719-084917-0433BF01,74.32885906040269,60.94027691763311,94.442779122577,False,-0.17237477275908802,False
